CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0224-45,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO 'EUROPEO',11 CALLE 3-38,22325512,AMADO SALOMON FLORES PEREZ,---,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0225-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO 'COMERCIAL GUATEMALTECO',10A CALLE 11-44,22534824,LESLIE AZUCENA MONZON TECUN,CHARLOTTE ANN AFRE PYATT,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0226-45,01-317,CIUDAD CAPITAL,ZONA 1,COLEGIO BELGA GUATEMALTECO,9A CALLE 10-38,23148300,MARIANO DOMINGO ESTRADA TELETOR,DULCE MARÍA CHÁVEZ MELCHOR,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0238-45,01-110,CIUDAD CAPITAL,ZONA 1,INSTITUTO TECNOLÓGICO DE COMPUTACION I.T.C.,2A CALLE 11-65,22200060,ZUHILEM YESENIA ESTRADA ORTIZ,DULCE MARÍA CHINCHILLA GODOY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0240-45,01-312,CIUDAD CAPITAL,ZONA 1,IPMB RAFAEL LANDIVAR,8A CALLE 2-46,22500132,AMADO SALOMON FLORES PEREZ,DORA BEATRIZ CASTILLO DE LA CRUZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0243-45,01-318,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8A CALLE 12-46,22320683,LESLIE AZUCENA MONZON TECUN,PATRICIA LORENA LIDIA GIDI DAVID,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0247-45,01-317,CIUDAD CAPITAL,ZONA 1,"INSTITUTO PARTICULAR MIXTO ""JOSÉ MARTÍ""",8A CALLE 12-41,22539053,MARIANO DOMINGO ESTRADA TELETOR,REGINA CORALIA GARCÍA CONTRERAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0248-45,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO EL CAMINO,10A CALLE 11-46,22511273,AMADO SALOMON FLORES PEREZ,ALAN JEFFREY BRENNER SANTIZO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0249-45,01-318,CIUDAD CAPITAL,ZONA 1,LICEO MONTESSORI,7A CALLE 12-51,22305869,LESLIE AZUCENA MONZON TECUN,KAREN DIANNÉ SIERRA PAREDES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0251-45,01-301,CIUDAD CAPITAL,ZONA 1,LICEO MERCANTIL,12 AVE. 12-31,22384330,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,BRENDA SOFIA SOTO MIRANDA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0254-45,01-301,CIUDAD CAPITAL,ZONA 1,"IPMB COLEGIO MIXTO ""INDO LATINO""",4A AVE. 13-35,22380338,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,SONIA ESTELA RAMÍREZ MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0296-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,"3A. CALLE 7-64,",51098489,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0308-45,01-301,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INNOVACIÓN TECNOLÓGICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,22510248,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,MYRNA GUDELIA BANTES GARCÍA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0317-45,01-317,CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,22205687,MARIANO DOMINGO ESTRADA TELETOR,MARÍA ISABEL POLANCO PAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0324-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,22205687,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MARÍA ISABEL POLANCO PAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0341-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO INTERNACIONAL CAMBRIDGE (CIS),"3A. AVENIDA ""A"" 3-28",57529460,LESLIE AZUCENA MONZON TECUN,MARÍA CRISTINA GEREDA ARÉVALO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0342-45,01-403,CIUDAD CAPITAL,ZONA 1,CENTRO CULTURAL DE LAS AMERICAS NO. 3,2A. AVENIDA 12-23,22325526,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,HUGO VALDEMAR RIVAS MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0356-45,01-307,CIUDAD CAPITAL,ZONA 1,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,22201454,NORMA ARACELY PALOMO FRANCO DE DIAZ,RITA CAROLINA TEJEDA MARTINEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0362-45,01-403,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCATIVO RENUEVO,6A. AVENIDA 2-34,59497339,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ISABEL EUNICE ROJAS CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,A DISTANCIA,GUATEMALA NORTE
00-01-0374-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,22201454,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,SILVIA SUSANA SALAZAR SOTO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0375-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,22201454,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,SILVIA SUSANA SALAZAR SOTO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0381-45,01-304,CIUDAD CAPITAL,ZONA 1,CENTRO INTERCULTURAL DE COMPUTACION Y TURISMO C.I.C.T,11 CALLE 1-56,22326732,AMADO SALOMON FLORES PEREZ,MARIBEL ALEJANDRINA VALENZUELA GUZMAN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0391-45,01-403,CIUDAD CAPITAL,ZONA 1,COLEGIO DE INNOVACIÓN TECNOLÓGICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,22510248,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MYRNA GUDELIA BANTES GARCÍA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0401-45,01-403,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNOLOGICO LA MISION,4A. AVENIDA 9-65,22323407,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MARIO ADOLFO ROMERO REYES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0403-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO REGIOMONTANO,9A. CALLE 2-64,22536762,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,NERY EDUARDO MALDONADO RUIZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0426-45,01-307,CIUDAD CAPITAL,ZONA 1,COLEGIO CATOLICO SAN LUCAS,14 CALLE 6-82,22302011,NORMA ARACELY PALOMO FRANCO DE DIAZ,BRENDA ROCSANA CRUZ NÁJERA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0436-45,01-312,CIUDAD CAPITAL,ZONA 1,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,22383733,AMADO SALOMON FLORES PEREZ,JOSE RICARDO REYES MORA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0438-45,01-627,CIUDAD CAPITAL,ZONA 1,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,22530315,ISAURA AMPARO RECINOS CARRILLO,JOSE RICARDO REYES MORA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0439-45,01-627,CIUDAD CAPITAL,ZONA 1,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,22530315,ISAURA AMPARO RECINOS CARRILLO,JOSE RICARDO REYES MORA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0453-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO PROFESIONAL SANTANDER,2DA. AVENIDA 8-27,58166416,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JORGE ABRAHAM CAMEY PRETZANCIN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0455-45,01-312,CIUDAD CAPITAL,ZONA 1,LICEO CULTURAL ESPAÑOL,4A. AVENIDA 3-56,30258550,AMADO SALOMON FLORES PEREZ,ELDER ALCIDES REGALADO LEMUS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0457-45,01-627,CIUDAD CAPITAL,ZONA 1,LICEO CULTURAL ESPAÑOL,4A. AVENIDA 3-56,30258550,ISAURA AMPARO RECINOS CARRILLO,ELDER ALCIDES REGALADO LEMUS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0459-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO CULTURAL ESPAÑOL,4A. AVENIDA 3-56,30258550,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ELDER ALCIDES REGALADO LEMUS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0461-45,01-312,CIUDAD CAPITAL,ZONA 1,"CENTRO TECNOLÓGICO ""DA VINCI""",10A. CALLE 9-52,22382038,AMADO SALOMON FLORES PEREZ,MARIA TERESA YON DE RENDON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0463-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO VALVERDE NO. 2,4A. AVENIDA 4-49,22093200,LESLIE AZUCENA MONZON TECUN,SARA LIZBETH COLINDRES MILIÁN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0469-45,01-627,CIUDAD CAPITAL,ZONA 1,"CENTRO TECNOLÓGICO ""DA VINCI""",10A. CALLE 9-52,22382038,ISAURA AMPARO RECINOS CARRILLO,MARIA TERESA YON DE RENDON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0494-45,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION BASICA Y BACHILLERATO EN CIENCAS Y LETRAS POR MADUREZ DOCTOR JUAN JOSE AREVALO BERMEJO,8A. AVENIDA 9-60,22536894,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,EDNA MARIETA DE LA CRUZ PONCE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0505-45,01-301,CIUDAD CAPITAL,ZONA 1,CENTRO ESCOLAR MIXTO SANTA MARIA,15 AV. 1-95,22303427,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,SOR MARGARITA ORTIZ BORRAYO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0511-45,01-207,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCATIVO FUTURISTA -C.E.F.-,13 AVENIDA 4-60 ZONA 1,22511845,ELOÍSA MERCEDES GÓMEZ OROZCO DE FUENTES,---,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0518-45,01-403,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ",3A. AVE. 7-34,56289897,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ISABEL ROBEDDI VALLAR TORRES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0519-45,01-403,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ""",3A. AVE. 7-34,56289897,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ISABEL ROBEDDI VALLAR TORRES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0523-45,01-312,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ""",3A. AVE. 7-34,56289897,AMADO SALOMON FLORES PEREZ,ISABEL ROBEDDI VALLAR TORRES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0526-45,01-317,CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 3,8A. CALLE 0-62,22518774,MARIANO DOMINGO ESTRADA TELETOR,MELINA ELIZABETH GONZÁLEZ ROSALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0530-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 3,8A. CALLE 0-62,22518774,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MELINA ELIZABETH GONZÁLEZ ROSALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0536-45,01-403,CIUDAD CAPITAL,ZONA 1,INEB JN ADSCRITO A EOPA NO. 26 JOSÉ JOAQUÍN PARDO,3A. AVE. C 24-24,57123025,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,WALTER ULISES OROZCO AGUILAR,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0537-45,01-403,CIUDAD CAPITAL,ZONA 1,INEB JN ADSCRITO A EOPA NO. 1 TOMAS CACELLA,15 CALLE 11-12,58578420,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,MARINA FLORES MORAN DE CHAVEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0554-45,01-618,CIUDAD CAPITAL,ZONA 1,"CENTRO DE EDUC. EXTRAESCOLAR CEEX-GRUPO CEIBA, PARQUE DE SERVICIOS TECNOLÓGICOS",4A. AVENIDA 12-39,22381970,ROSA GEORGINA RIOS CASTILLO,RUTH SADIRA CHELEY DE LEÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0559-45,01-316,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNOLÒGICO CENTRO CULTURAL DE LAS AMÉRICAS,8A. CALLE 0-30,22384217,CARLOS HUMBERTO GONZALEZ DE LEON,JESÚS SAMAYOA ARAGÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0566-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO INTEGRAL SAN JUAN,9A. CALLE 3-40,22533937,LESLIE AZUCENA MONZON TECUN,SILVIA PATRICIA RAMOS ESTRADA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
