CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,flag_cambiado,flag_sospechoso
18-01-0428-46,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS,"COLONIA PIEDRAS NEGRAS, SANTO TOMAS DE CASTILLA",URBANA,PRIVADO,True,False
05-02-0256-45,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,KM. 87.5 CARRETERA CA-2 AL PACÍFICO.,URBANA,PRIVADO,False,True
03-03-0032-46,SACATEPEQUEZ,PASTORES,COLEGIO CRISTIANO AVIVANDO EL FUEGO,"LOS PLANES DE PASTORES, COLONIA EL TIZATE ZONA 0",URBANA,PRIVADO,True,False
07-13-0018-45,SOLOLA,SAN LUCAS TOLIMAN,INEB DE TELESECUNDARIA,COLONIA XEJUYUP,URBANA,OFICIAL,True,False
05-05-0040-46,ESCUINTLA,MASAGUA,LICEO MIXTO BILINGÜE EMPRESARIAL,1A CALLE 0-23 COLONIA EL ESFUERZO,URBANA,PRIVADO,True,False
10-02-0053-46,SUCHITEPEQUEZ,CUYOTENANGO,INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,KM. 169 CARRETERA AL PACIFICO,URBANA,PRIVADO,False,True
17-03-0090-45,PETEN,SAN BENITO,CENTRO EDUCATIVO PRIVADO MIXTO DE EDUCACIÓN MEDIA _CEPMEM,BARRIO BELLOS HORIZONTES,URBANA,PRIVADO,True,False
04-01-0287-46,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE,URBANA,PRIVADO,False,True
05-06-0091-46,ESCUINTLA,TIQUISATE,LICEO EN INFORMATICA Y CIENCIAS AVANZADAS CERMA,KILÓMETRO 144 SALIDA A RÍO BRAVO,URBANA,PRIVADO,False,True
05-09-0082-46,ESCUINTLA,SAN JOSE,"COLEGIO PREUNIVERSITARIO ""SAN PABLO""",CHÁCARA SAN JOAQUÍN INTERIOR NO. 5 COLONIA EL JARDÍN,URBANA,PRIVADO,True,False
13-01-0313-46,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGÉLICO MIXTO FILADELFIA,SEGUNDO CARRIZAL ZONA 3,URBANA,PRIVADO,True,False
03-08-0044-46,SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ,TECNOLOGICO INDUSTRIAL MIXTO ANDRE AMPERE,"7A. AVENIDA 3-21, CASCO URBANO ZONA 1",URBANA,PRIVADO,False,False
05-10-0039-46,ESCUINTLA,IZTAPA,"COLEGIO PARTICULAR MIXTO ""IXTAPAN""",5TA AVENIDA 3-80 ZONA 1 BARRIO EL MORÓN,URBANA,PRIVADO,False,False
05-07-0085-46,ESCUINTLA,LA GOMERA,COLEGIO PARTICULAR MIXTO ROSALES,"2A. CALLE A, BARRIO CHIPILAPA INSTALACIONES DEL INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA I.M.E.D. ARISTIDES CRESPO VILLEGAS",URBANA,PRIVADO,True,False
02-01-0665-46,EL PROGRESO,GUASTATOYA,ESCUELA NORMAL DE EDUCACION FISICA,BARRIO EL PORVENIR,URBANA,OFICIAL,False,False
07-18-0022-46,SOLOLA,SAN PEDRO LA LAGUNA,COLEGIO DE FORMACIÓN TECNOLÓGICA,7A. AVENIDA 2-20 ZONA 2,URBANA,PRIVADO,False,False
18-04-0382-46,IZABAL,MORALES,"COLEGIO PRIVADO MIXTO VOCACIONAL ""MONTEMARIA""",ALDEA EL ROSARIO,RURAL,PRIVADO,False,False
09-15-0425-45,QUETZALTENANGO,HUITAN,IEBC DE ENSEÑANZA,HUITAN,URBANA,COOPERATIVA,False,False
11-04-0034-45,RETALHULEU,SAN MARTIN ZAPOTITLAN,CENTRO DE ESTUDIOS INTEGRALES CEDEIN,2A. AVENIDA 3-50 ZONA 1,URBANA,PRIVADO,False,False
17-03-0078-45,PETEN,SAN BENITO,CENTRO EDUCATIVO EXTRAESCOLAR,BARRIO NUEVA ESPERANZA,URBANA,OFICIAL,False,False
11-01-1123-45,RETALHULEU,RETALHULEU,"INSTITUTO MIXTO DE EDUCACIÓN BÁSICA POR SISTEMA DE COOPERATIVA DE ENSEÑANZA ""DR. BENITO JUAREZ""",PARCELAMIENTO SANTA FE,RURAL,COOPERATIVA,False,False
03-04-1240-45,SACATEPEQUEZ,SUMPANGO,CENTRO EDUCATIVO TECNOLOGICO DESARROLLO INTEGRAL CETEDI,2A. CALLE 2-32 ZONA 5,URBANA,PRIVADO,False,False
12-29-5026-46,SAN MARCOS,SAN LORENZO,INSTITUTO TECNOLOGICO PRIVADO MIXTO EVANGELICO SUNESIS,SAN LORENZO,URBANA,PRIVADO,False,False
11-01-0142-46,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,5A. AVENIDA 6-49 ZONA 1,URBANA,PRIVADO,False,False
05-13-0044-45,ESCUINTLA,NUEVA CONCEPCION,INEB,CALLE BELICE BARRIO SANTA TERESA,URBANA,OFICIAL,True,False
04-01-0268-46,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO MONTE CRISTO,"CASERÍO MONTE CRISTO, ALDEA SAN MARCOS PACOC",RURAL,PRIVADO,False,False
